id,title,release_date,original_language,vote_average,vote_count,popularity,runtime,adult,genres,overview
1155095,The Moor,2024-06-14,en,5.0,21,279.108,120,False,"Horror, Mystery, Drama",Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.
1155095,The Moor,2024-06-14,en,5.0,21,279.108,120,False,"Horror, Mystery, Drama",Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.
957452,The Crow,2024-08-21,en,5.875,823,270.288,111,False,"Action, Fantasy, Horror","Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right."
573435,Bad Boys: Ride or Die,2024-06-05,en,7.475,2460,316.285,115,False,"Action, Comedy, Crime, Thriller, Adventure","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves."
1116490,Cash Out,2024-04-26,en,6.4,142,264.35,90,False,"Action, Thriller","Criminal mastermind Mason is about to execute the score of a lifetime when his lover and key member of his crew, Decker, takes the team down and reveals she’s an undercover Interpol agent. Heartbroken, Mason escapes and retires from the life of crime until his younger brother Shawn is out of his league taking on a big bank heist all on his own. Mason has no choice left but to come to the rescue, while Interpol brings Decker in hoping to unnerve him. Before the SWAT teams storm the bank, Mason must use every tool in his arsenal to not only escape with the prize, but also the love of his life."
1326059,Pimpinero: Blood and Oil,2024-10-10,es,7.3,42,267.434,122,False,"Action, Crime, Drama","When Juan, a young gasoline smuggler, is forced to work for a mysterious organization in the desert bordering Colombia and Venezuela, his girlfriend Diana embarks on a journey to uncover the secrets that inhabit this no-man’s-land."
748783,The Garfield Movie,2024-04-30,en,7.113,1127,253.875,101,False,"Animation, Comedy, Family, Adventure, Action","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist."
978796,Bagman,2024-09-20,en,6.1,114,253.579,92,False,"Horror, Thriller","For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake."
823219,Flow,2024-08-29,lv,8.5,427,274.247,85,False,"Animation, Fantasy, Adventure","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together."
1084863,The Soul Eater,2024-04-24,fr,6.1,91,232.558,111,False,"Thriller, Horror, Crime, Mystery","When the disappearance of children and bloody murders multiply in a small mountain village, an old legend shrouded in sulphur reappears... Commander Guardiano and Captain of the Gendarmerie De Rolan are forced to join forces to uncover the truth."
1387866,Disaster Holiday,2024-12-12,en,6.6,18,205.093,93,False,"Comedy, Family","A workaholic dad, trying to win over his kids, heads to the coast of Durban for a big work meeting — under the guise of a family road trip vacation."
259872,Skin. Like. Sun.,2010-02-19,nl,6.5,22,253.218,60,False,Romance,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at."
889737,Joker: Folie à Deux,2024-10-01,en,5.5,1889,279.622,138,False,"Drama, Crime, Thriller","While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him."
1331375,Dominique,2024-10-11,en,7.5,84,236.907,94,False,"Action, Thriller","Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in."
1125510,The Platform 2,2024-09-27,es,5.6,956,305.331,101,False,"Science Fiction, Horror, Thriller","After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method."
726139,Project Silence,2024-07-11,ko,7.028,264,240.716,96,False,"Action, Thriller, Horror, Science Fiction","Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks."
1014505,OVERLORD: The Sacred Kingdom,2024-09-20,ja,7.7,25,228.647,134,False,"Action, Adventure, Animation, Fantasy","After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor."
592695,Pleasure,2021-10-08,sv,6.2,559,242.009,108,False,Drama,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined."
157336,Interstellar,2014-11-05,en,8.4,35858,232.815,169,False,"Adventure, Drama, Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
917496,Beetlejuice Beetlejuice,2024-09-04,en,7.1,2041,243.871,105,False,"Comedy, Fantasy, Horror","After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
1100856,Whisper of the Witch,2024-06-13,ru,6.393,14,228.441,90,False,"Horror, Thriller","Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers."
639720,IF,2024-05-08,en,7.212,1108,258.078,104,False,"Comedy, Fantasy, Family","After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids."
1371727,Sing: Thriller,2024-10-15,en,7.272,123,233.892,11,False,"Animation, Family, Comedy","Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films."
335983,Venom,2018-09-28,en,6.833,16126,223.018,112,False,"Science Fiction, Action","Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own."
1011985,Kung Fu Panda 4,2024-03-02,en,7.1,2769,255.491,94,False,"Animation, Family, Fantasy, Action","Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past."
